datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2013-04-30,12998.979187011719,91969.35755309982,341.9000000000017,104968.33674011154,0.00029475753776608826,1.0496833674011128,0.0
2013-05-01,12885.009765625,91969.35755309982,341.9000000000017,104854.36731872482,-0.0010857504741538238,1.0485436731872457,0.0011396942138670596
2013-05-02,13004.679870605469,91969.35755309982,341.9000000000017,104974.03742370529,0.001141298240985078,1.0497403742370504,0.0
2013-05-03,13136.553955078125,91969.35755309982,341.9000000000017,105105.91150817795,0.0012562542863849835,1.051059115081777,0.0
2013-05-06,13169.935607910156,91969.35755309982,341.9000000000017,105139.29316100998,0.0003176001459197497,1.0513929316100972,0.0
2013-05-07,13236.691284179688,91969.35755309982,341.9000000000017,105206.04883727951,0.0006349260515505772,1.0520604883727926,0.0
2013-05-08,13296.929931640625,91969.35755309982,341.9000000000017,105266.28748474045,0.0005725777949716626,1.0526628748474018,0.0
2013-05-09,13259.483337402344,91969.35755309982,341.9000000000017,105228.84089050216,-0.0003557320689561161,1.052288408905019,0.0003744659423827734
2013-05-10,13302.62451171875,91969.35755309982,341.9000000000017,105271.98206481857,0.00040997481252591506,1.0527198206481831,0.0
2013-05-13,13313.209533691406,91969.35755309982,341.9000000000017,105282.56708679123,0.00010054927973279781,1.0528256708679098,0.0
2013-05-14,13450.790405273438,91969.35755309982,341.9000000000017,105420.14795837326,0.001306777326854247,1.05420147958373,0.0
2013-05-15,13523.237609863281,91969.35755309982,341.9000000000017,105492.5951629631,0.0006872235146022643,1.0549259516296285,0.0
2013-05-16,13459.739685058594,91969.35755309982,341.9000000000017,105429.09723815841,-0.0006019183119592153,1.0542909723815816,0.0006349792480468963
2013-05-17,13589.993286132812,91969.35755309982,341.9000000000017,105559.35083923263,0.0012354615991825302,1.0555935083923238,0.0
2013-05-20,13589.175415039062,91969.35755309982,341.9000000000017,105558.53296813888,-7.747973886251813e-06,1.0555853296813862,8.17871093761191e-06
2013-05-21,13608.7158203125,91969.35755309982,341.9000000000017,105578.07337341232,0.00018511440737190021,1.0557807337341207,0.0
2013-05-22,13507.769775390625,91969.35755309982,341.9000000000017,105477.12732849045,-0.0009561269844813314,1.054771273284902,0.0010094604492187909
2013-05-23,13468.699645996094,91969.35755309982,341.9000000000017,105438.05719909591,-0.0003704132865968157,1.0543805719909565,0.0014001617431642632
2013-05-24,13457.305908203125,91969.35755309982,341.9000000000017,105426.66346130295,-0.00010806096105753227,1.0542666346130267,0.0015140991210940147
2013-05-28,13537.890625,91969.35755309982,341.9000000000017,105507.24817809982,0.0007643675153055085,1.0550724817809953,0.000708251953125405
2013-05-29,13449.971008300781,91969.35755309982,341.9000000000017,105419.3285614006,-0.0008333040451478091,1.054193285614003,0.0015874481201176849
2013-05-30,13499.629211425781,91969.35755309982,341.9000000000017,105468.9867645256,0.0004710540638293015,1.0546898676452532,0.001090866088867548
2013-05-31,13305.880737304688,91969.35755309982,341.9000000000017,105275.23829040451,-0.0018370184455612781,1.0527523829040424,0.0030283508300783524
2013-06-03,13379.150390625,91969.35755309982,341.9000000000017,105348.50794372482,0.0006959818330516399,1.0534850794372455,0.0022956542968752824
2013-06-04,13314.836120605469,91969.35755309982,341.9000000000017,105284.19367370529,-0.0006104905638899538,1.05284193673705,0.0029387969970706695
2013-06-05,13128.41796875,91969.35755309982,341.9000000000017,105097.77552184982,-0.0017706186023821457,1.0509777552184953,0.004802978515625389
2013-06-06,13247.271728515625,91969.35755309982,341.9000000000017,105216.62928161545,0.0011308874919138123,1.0521662928161517,0.0036144409179690307
2013-06-07,13415.780639648438,91969.35755309982,341.9000000000017,105385.13819274826,0.0016015425725319776,1.05385138192748,0.0019293518066407778
2013-06-10,13415.780639648438,91969.35755309982,341.9000000000017,105385.13819274826,0.0,1.05385138192748,0.0019293518066407778
2013-06-11,13277.389526367188,91969.35755309982,341.9000000000017,105246.74707946701,-0.0013131938303115875,1.0524674707946675,0.003313262939453221
2013-06-12,13167.494201660156,91969.35755309982,341.9000000000017,105136.85175475998,-0.0010441683734325746,1.051368517547597,0.004412216186523654
2013-06-13,13367.755126953125,91969.35755309982,341.9000000000017,105337.11268005295,0.001904764332872455,1.0533711268005268,0.002409606933593933
2013-06-14,13283.89892578125,91969.35755309982,341.9000000000017,105253.25647888107,-0.0007960746126256524,1.052532564788808,0.0032481689453127682
2013-06-17,13386.479187011719,91969.35755309982,341.9000000000017,105355.83674011154,0.0009746041563194474,1.0535583674011126,0.0022223663330080967
2013-06-18,13492.306518554688,91969.35755309982,341.9000000000017,105461.66407165451,0.0010044752603883822,1.0546166407165423,0.0011640930175784714
